id,en,ru,be,zh,sp,fi,bel,pl,emoji,lv,kl
$$$tutorial,"To correct or create a line, right-click on it and create a comment. After a while the translation will be accepted or, on the contrary, rejected.","Для того, чтобы корректировать или создать строку, нажмите на неё правой кнопкой мыши и создайте комментарий. Через некоторое время перевод будет принят или наоборот, отклонён.","Для таго, каб карэктаваць ці стварыць радок, націсніце на яе правай кнопкай мышы і стварыце каментар. Праз некаторы час перавод будзе прыняты ці наадварот, адхілены.",要修改或创建一行，请右击该行并创建注释。一段时间后，翻译将被接受或拒绝。,"Para corregir o crear una línea, haz clic con el botón derecho del ratón sobre ella y crea un comentario. Al cabo de un rato, la traducción será aceptada o, por el contrario, rechazada.","Jos tarvitset korjata tai tehdä uuden rivin, klikkaa riville oikean hiirin nappulan avulla ja tee komentti. Jonkun ajan kuluttua uusi käännos luvataan, tai muuten, se poistetaan.","Dlia taho, kab karektavać ci stvaryć radok, nacisnicie na jaje pravaj knopkaj myšy i stvarycie kamientar. Praz niekatory čas pieravod budzie pryniaty ci naadvarot, adchilieny.","Aby edytować lub utworzyć linię, kliknij ją prawym przyciskiem myszy i utwórz komentarz. Po chwili tłumaczenie zostanie zaakceptowane lub, przeciwnie, odrzucone.","✍ ⚖️ ✍ ⏸, ▶️-🖊 🔛 ⚫️ & ✍ 🏤. ⏮ ⏪, 📨 🔜 🚫 ⚖️ 🚫.","Lai rediģētu vai izveidotu jaunu rindu, ar peles labo pogu noklikšķiniet uz tās un izveidojiet komentāru. Pēc neilga laika tulkojums tiks pieņemts vai noraidīts.","Dlǐa togo, çtobâ korrektirovatá ili sozdatá stroku, nažmite na neǐo pravoǐ knopkoǐ mâši i sozdaǐte kommentariǐ. Ҫerez nekotoroe vremǐa perevod budet prinǐat ili naoborot, otklonǐon."
$$$langname,English,Русский,Беларуская,中文,Español,Suomi,Bielaruskaja lacinka,Polski,🦲,Latviešu,Russkiǐ
$$$englishname,English,Russian,Belarussian,Chinese,Spanish,Finnish,Belarusian Latin,Polish,Emoji,Latviešu,Latin Russian
$$$--,-,-,-,-,-,-,-,-,-,-,-
$stamina,Stamina,Выносливость,Цягавітасць,耐力,Resistencia,Energia,Ciahavitaść,Wytrzymałość,💪,Izturība,Vânoslivostá
$play,Play,Играть,Гуляць,游戏,Jugar,Pelaa,Huliać,Grać,🤾,Spēlēt,Igratá
$bullets,Ammo,Пули,Кулі,子弹,Balas,Ammukset,Kuli,Kule,🚅,Munīcija,Puli
$settings,Settings,Настройки,Налады,设置,Ajustes,Asetukset,Nalady,Ustawienia,⚒,Iestatījumi,Nastroǐki
$health,HP,Здоровье,Здароўе,健康,Salud,HP,Zdaroŭje,Zdrowie,🏥,Veselību,Zdorováe
$createdby,Wallpaper made by,Обои сделал,Шпалеры зрабіў,壁纸制作：,Papel pintado de,Taustakuvan teki,Špalery zrabiŭ,Tapeta wykonana przez,⚒ ,Tapetes izgatavoja,Oboi sdelal
$save,Save,Сохранить,Захаваць,节省,Guardar,Tallenna,Zachavać,Zapisz,🖊,Saglabāt,Sohranitá
$fullscreen,Fullscreen (F11),Полноэкранный режим (F11),Поўнаэкранны рэжым (F11),全屏模式 (F11),Modo de pantalla completa (F11),Kokonäyttö (F11),Poŭnaekranny režym (F11),Pełny ekran (F11),🌕-🖥 📳 (F1⃣1⃣),Pilnekrāna režīms (F11),Polnoēkrannâǐ režim (F11)
$graphicssettings,Graphical settings,Настройки графики,Настройкі графікі,图形设置,Ajustes gráficos,Grafiikka-asetukset,Nastrojki hrafiki,Ustawienia graficzne,🖥 ⚒,Grafika Iestatījumi,Nastroǐki grafiki
$other,Other,Другие,Іншыя,其他,Otros,Muu,Inšyja,Inne,🎏,Citi,Drugie
$machinetranslat,Found a mistake in the translations? Help us translate the game by clicking here!,Помочь с переводом игры,Перакладаць дапамагаў Google Translate. Дапамагчы з перакладам.,您选择的语言已通过 Google 翻译和 Deepl 翻译，因此可能存在错误。如果您懂该语言，可以点击此处帮助我们！,"El idioma que has elegido ha sido traducido a través de Google Translate y Deepl, por lo que puede haber errores. Si conoces el idioma, ¡puedes ayudarnos haciendo clic aquí!",Löysitkö virhen käännöksessä? Auttaa meitä lähettämällä palautetta!,Pieraklad byŭ zroblieny z dapamohaj Google Pierakladčyk i sajta https://seveleu.com/lacinka/converter-ru. Dapamahčy z pierakladam?,"Język, który wybrałeś, został w całości wykonany z „DeepL”. Jeśli jesteś polskojęzycznym użytkownikiem i widzisz błąd, wyślij nam opinię!","The Emoji language was created using Yandex Translator. This is a joke language, so it may not display well on mobile devices.","Tulkojums tika veikts, izmantojot Google Translate(tulkotājs) un manas personīgās latviešu valodas zināšanas. Jūs varat mums palīdzēt ar tulkojumu.",Pomoçá s perevodom igrâ
$pausemenu,Pause menu,Меню паузы,Меню паўзы,暂停菜单,Menú Pausa,Pysäytysvalikko,Mieniu paŭzy,Menu pauzy,⏸ 🍣,Pauzes izvēlne,Menǐu pauzâ
$resume,Resume,Продолжить,Працягнуць,待续,Continuación,Jatkaa peliä,Praciahnuć,Wznowienie,😣,Turpināt,Prodolžitá
